Shloka Number,Text
623,"इह सुचिरेण प्रशाम्यति गुहापरम्पराप्रतिस्खलितः | अभिताडित-
कांस्योद्वारझन्त्रनाप्रतिरवाभोगः"
624,"इह दृश्यते विमलायमानमणि-
शिलापण्डसंध्युद्योतम् | परिदलितदाडिमीकुसुमदलशिखातानं गगनम्"
625,"इह दूरस्थितशिखरा विस्तारासन्नप्रकटनितम्बाः| दृश्यन्तेऽयम-
लिनाः क्रमेण मूलोज्ज्वला गिरयः"
626,"इह ताः खण्डितीच्छुष्कपाद-
पालनवलिकलिला | शबरोत्खातकन्दोद्देशविवरविषमा भूमयः"
627,"इह व्याधैर्वराहाणां वाणविहतानामनुत्रियन्ते | अग्रामसमुज्ज्वलरुधिर-
विन्दुमुद्राः पदव्यः"
628,"९५
मणिविस्तारपरिष्ठितवसुधाप्रकटायमानपर्यन्तः लक्ष्यते शेषफणातट
इवाथ निर्मलो जलधिः"
629,"निबिडदलनालपरिजटिलदीर्घोद्दण्ड-
पिण्डखर्जूराः | एता जलधेस्तटतमालनीला वनात्यः"
630,"प्रभाते
विकसन्ति मरालचञ्चुपरिचुम्बिताः सरसीषु | इह कमलिन्यो मधुकरपु-
लिन्दविनिवेशपलयः"
631,"पतीह जलनिधिमुत्तरेण उदद्महीधरे
नभोविसारी | सामीरं रजोऽनुवृत्य गन्धो वनलतानाम्"
632,"पाटलितभूरजस्को निधर्षणेन पूगानां परिमलकषायः | कपिलित-
निवसन इह जनस्य संध्यायते रजओधः"
633,"इह पवनभिन्नतालीर-
सच्छटापिच्छिलान् परिस्खलिताः कपयो मधुरसुगन्धान लिहन्ति हस्तान्
गिरितटीषु"
634,"दोलनशील परिणतगर्भसारसंभेदन मुखरफलकोशाः |
इह पवनी नर्तयति नालिकेरवनाली:"
635,"मुखरान्दोलितताडी पल्लवसंवेल्लिता इह वहन्ति | बन्धनदलत्तृणराज-
फलचटत्कारिणः पवनाः"
636,"अथ कैलासोऽतिक्रामति यस्मिन्
हिमकणक्कामितच्छायम् संस्मृतमदनविनिपातखेदविधुरमिव शशिविम्बम्"
637,"इह हरजटाभिसंयमनग्रन्थिनिविडितगलेन वासुकिना |
उत्फुलफणाता मुच्यन्ते समीरणोद्वारा:"
638,"इह नैव निशास्वपि
निर्वर्तन्ते आमोदप्रेरितभुजङ्गाः | रत्नच्छविसंवलिताः कटकेषु महौषधि-
विटपाः"
639,"इह मणितटानां दृश्यते उद्वर्तितवर्हिपिच्छविच्छायः |
नीहारपटपरिस्खलित निर्गमः किरणसमूहः"
640,"इह स्फुरति पाण्डुभावो
वर्षागमभङ्गगृहीतशिखराणाम् | अनवरतविसृष्टविद्युरुधिराणामिव
घनानाम्"
641,"इह सिद्धसुन्दरीणां स्तनानां नवनखपदानां निर्वर्तते |
आताम्रराजिलाञ्छितविचित्र भूर्जपत्रलावण्यम्"
642,"९७
इह मुनिवराणां निष्कम्पनियमप्रतिबन्धसंघितालोकाः | ध्यानविरमे
जायन्ते केवलं मलिना गिरिगुहाः"
643,"इह मुक्तपल्वलोन्मुखप्रसन्नम-
हिषायलोकिता भवन्ति | शैलशिखरान्तरीयमाणरविकरा दिवसपरिणामाः"
644,"छायानिर्वापितशालानां भई दिनावसानानाम् | नगरविनिवृत्त-
गोपीपरिगीत वनान्तमार्गाणाम्"
645,"इह पलीधूमोजेवधूसरायमाण-
कुञ्जरमणीयाः | भवन्ति गिरिकटकदण्डा निशागमारम्भगंभीराः"
646,"उदयच्छय मुखन पुराणकरिदन्तपिङ्गलमयूखः| इह शोभते शिखरास-
कमण्डलो यामिनीनाथः"
647,"धाराभिषिक्तनवकन्दलानामिह ताथ-
लन्ति मालाः | जरठकलविङ्कगल मण्डला भिलीना जलधराणाम्"
648,"इह सो तरुलमुआ-सलिल-संभिण्ण-केसरामोओ|
परिणय-किष्ण-सुरा-अंध-गाढ-महुरो विणिम्महर"
649,"प्रथमासारे इह तप्तभूनिवेशानि वनकुरङ्गैः | दघटितमुखं पीयन्तेऽ-
प्रशिशिराणि तोयानि"
650,"इहवेत दुझिअभिण्ण-वओ-अंड-फलल-सीअरिणो |
वाअंति मेह-सीअल धूलि-लघुत्थंविण पवणा"
651,"इह वेल्लदुमोज्झितभिन्नवयोऽण्डकलल-
शीकरिणः | वान्ति मेघशीतल लिलवीत्क्षेपिणः पवनाः | ६५० || पते
विल| नगोमयहरितान्तरबुदबुदाः परिवहन्ति शाद्वलसंदानितशफर-
चित्रला पूरविस्ताराः"
652,"इह धाराधीतफलास्थिनिर्गत कषायग-
न्धानाम् | विरलभ्रमराणां घूर्णते लक्ष्मीर्जम्बूतरुतलानाम्"
653,"उत्कन्दलानां घूर्णते ह सैरिभदलित के सरवनानाम् | गन्ध उद्बुद्ध-
कदम्बशीतलः शैलकटकानाम्"
654,"इह सलिलक्लिनातानविरस-
मालूरसारसुरभीणाम् | जलदसमयेऽरण्यानिलानां निर्वर्तते सौभाग्यम्"
655,"नवधाराप्रतिबध्यमानरेणुपरिश्यामलाः स्थलीमार्गाः | धूसर-
हरिणखुरच्छेदकर्बुरा इह विराजन्ते"
656,"अपमेधा अपि मनिचन्द्रिका भवन्ति सौम्यपवनाः | सलिलान्ध-
गगनदनिर्वर्तमानतारा रजन्यः"
657,"इह सा उन्मुद्रित सिन्दुवारम-
करन्दबन्धसुभगानाम् | शरदिवसानां विकसति लक्ष्मी उद्गन्धकमला-
नाम्"
658,"इअ सअल-दिसा-अढ-विअय-मिलिअ महि-मंडलेहिं सच्चविआ |
सेना-भदेहिं से सुअ-संणिवेसा वणुदेसा"
659,"अपि च एते विरक्तसुरचाप-
विरसांवरलाभिलक्षितच्छायाः | महिषखुरच्छेदविभावितप्रभा मणितटो-
देशाः"
660,"इच्छापरिवृत्तलतावितानोदेशपीडितदुमाणाम्| छाया
सैवान्येव अरण्यपरुषा उपवनानाम्"
661,"विब्भमवईण भिज्र्ज्जतमलअ-परिगूड-केसरं जाण |
ताणचित्र विअलइ इह लआण फल-पेल्लिअं कुसुमं"
662,"अपसृतशिखरबन्धास्तथास्थितापवृत्त भित्तिप्राग्भाराः| भवनो
त्सङ्गास्त एव विजलवापीनिभा जाताः"
663,"जातास्ता एव तथामहार्घमणिराशिशवलितस्तम्भाः | भ्रमणशी
लभुजस्गरत्नमात्रविभवा वीथ्यः"
664,"इह किल तथा पुरसंनिवेशष्ट-
पांसुराशिपरिवेषम्| वर्षासु प्रदेश प्रकाशनिमग्नमणिविद्रुमं नगरम्"
665,"नीरेणुभावनिर्वृत्तसालसुरसदनतोरणविटङ्काः | दूरेऽपि पुरनिवेशा
इहासन्ना इव दृश्यन्ते"
666,"प्रविलीन कुसूलस्थानपरुषदुसर्पासुस्थपु-
टितीदेशाः | इह भूद्रविणान्वेषणवितीर्णविवरा गृहावकाशाः"
667,"इह कालरूढ सीरागमानि जातानि बहलहरितानि भृगुणविकसित-
मन्दारबद्ध गहनानि क्षेत्राणि"
668,"इह कारभीषु कल्यमुन्नयन्तीव भूष
सावसादासु| आरमन्ति विनिर्गत कमलगन्धा इव दिशः"
669,"शाखासु
बन्धपरिशेषरज्जुव्युच्छेदविरलजरहदर्भाः | दोलामार्गा उपनिर्गमेष्वेत
तरुतलानाम्"
670,"१०१
अवसन्नपुराणनरेन्द्रकीर्तनस्थानशोणचूर्णाः | इह जरद्भुजद्गसंभा-
बिताः पर्यन्तभूमयः"
671,"इह निर्जितकुन्दोशीरसारसहकारपाटलर-
सानि | कमलकरवीरवापीषु ग्रीष्मतोयानि राजन्ते"
672,"इह विअड-मूलबंधा घडिअ-सिला-संचया परिसरेसु |
असमत-णिसचिअ जरं गआ सु-पुरिसारंभा"
673,"दुर्गमभावस्थितनाडीघटितघण्टेषु तोरणाग्रेषु |
इहाद्यापि उद्देशाः संभावितभूरिविभवा इव"
674,"आशिखरपरिष्ठित-
भित्तिसंचया गलितदारुप्रतिबन्धाः | इह इन्यन्तीय अभ्यन्त रातपा
भवनविस्ताराः"
675,"जनविनिघृष्टाय सकलुषहीनपाषाणदेहलीबन्धाः |
अगरुवललघुकजरद्वारदारुशकला इह निवेशाः"
676,"इह विघटित-
पिण्डीबन्धसंधिपरिलम्बिव्यालनिमोंकाः | आयामपरिष्ठितपङ्कविकट
लिङ्गाः स्थलाभोगाः"
677,"इह चिचिनीनां गृहीत्वा करतलावलुम्पनपिण्डितं पथिकः |
कवलयति जरठकलविङ्कपक्षकर्बुरं कुसुमम्"
678,"दृश्यन्ते प्रथमपीठा-
निविदारुणलग्नपकलेपाः| इह विघटितभित्तिच्छेदनिर्गता जर्जरेष्टकाः"
679,"इह लवणोद्गम परिहीनभित्तिवलयत्वेन दृश्यन्ते | अधिकविकटाः
पूरणसमुन्नताः कूपकोश्यः"
680,"पीनत्यवरपरिणामभङ्गपरिकर्षणम-
णिकपालाः | आभोगमद्यापि इह कथयन्ति गभीरा रथ्याः"
681,"इह कालेन समीकृततडागसुरमन्दिरा दृश्यन्ते | दरनिम्नोन्नत-
संस्थानमात्रविषमा भूमयः"
682,"ग्रहगोलकद्वारापसृतमूलप्रतिबद्ध-
चूर्णरेखाः | एताः पाटलापाण्डुकर्परा जीर्णभित्तयः"
683,"इह गम्भीरा-
यन्त इव अधिकालाकानि जालकविभद्गात् | छायास्वपि दरप्राप्तस्तम्भ-
च्छायानि भवनानि"
684,"१०३
दिवसेऽपि भूतसंभावनया उत्कण्डयन्त्यगानि निःशब्दा अपीह
झटिति घटितशब्दा वलभ्यः"
685,"इह दुन्वन्तीव फलपत्रलोभप्रविरि-
क्ततालखर्जूराः | अपलोहपर्यस्तजरदरघद्वदण्डाः गृहावकाशाः"
686,"चिह्नेोपलक्षिता विधुतारम्भावनतनरेन्द्रदृश्यमानाः | इहाद्यापि सन्ति
महानिधानमार्गः परिसरेषु"
687,"अघटमानधूमरजोनिर्गमाः पर्यस्तभ-
वनविरलाः | इह भवन्ति गाढतिमिराश्चिरेण रजनीषु रथ्याः"
688,"इति तस्य चिरं सेवागतैर्विघटितसमृद्धिबन्धः | निजनगरसंनिवशी
'वैरिनरेन्द्रेईष्टाः"
689,"किं च जातम् प्रेक्षध्वं लब्धच्छायमस्याः
प्रतिपन्नदर्पणं वदनम् | कमलमिव संमुखरविविम्बम्बितं स्फुरति नलिन्याः"
690,"उति दयितगृहीताधरोष्ठक्षीयमाणरोपप्रतिरागम् पानापसर-
न्मदिरमिव स्फटिकचपकमस्या वदनम्"
691,"६८४ दिनाओ for वडीओ
१०४

कंठोसरिएक-थणावसत्त-पिअ-बाहु-घोलिर-करग्गा |
सोहइ इमा पअत्तिअ-तुंबी-वीणा विणोअ व्व"
692,"दयितगृहीताल कावलिक लितललार्ट
सुखं वहति | बहुलनिशा वरहियमाणप्रथमकलमिन्दुविम्बमिव"
693,"वदननयनप्रभानिर्जितयोनूनमस्या एतयोः समदुःखयोरिव जातः समा-
गमञ्चन्द्रहरिणयोः"
694,"इत्यवतारितचापे यस्मिन् प्रावृविल-
सितव्येषु | निर्वर्णयति परिजनः सेनाललनानां लीलाः"
695,"किं च |
यस्य प्रहारघुताननरिपुगजगण्डस्थलीच्छलताम् | त्रिदशपरिमुक्तकुसुमेषु
घटते प्रणयी मधुकराणाम्"
696,"तस्य मगधाधिपतेरेतासां रमणीनां
विहसितोद्यताः | तव बहलयशम्छविप्रेरिता इव नरेन्द्र दृश्यन्ते"
697,"एतासां स्फुरितसेवाचामरपक्ष्मप्रतिमेषु दृश्यन्ते | अन्तर्भयपीता इव
बाष्पधाराः कपोलेषु"
698,
699,"कण्ठापनृतैकस्तनावसक्तप्रियबाहुघूर्णनशीलकराया| शोभते इयं
प्रवर्तिततुम्बीबीणाविनोदेव"
700,
701,
702,
703,
704,
705,"तब दूरावर्जितशेखरालिवलयैः क्रियते प्रणामः | अवनतललाटवि-
गलभ्रुकुटिभद्रव परैः"
706,"सत्यं त्वयि दृष्टे न सन्ति त्वादृशा
इति प्रतिभाति | केवलं तब दर्शनमेव स्थापयति कालस्य माहात्म्यम्"
707,"विषमत्वमपि विधेर्न तापयति त्वयि संस्मृते| आसन्नप्रावृत्
पल्लवयति ग्रीष्मीऽपि वनराजिम्"
708,"येषां निजा एव गुणाः किं
भण्यतां तेषां निर्गुणा येऽपि | तेऽपि गुणांस्तवावलम्ब्य गुणिन इव
नन्दन्ति"
709,"सांनिध्येनेव श्रियस्तव दक्षिणभुजावलम्बायाः | अनव-
रतमनितिमेष कनकवर्ष करो मुञ्चति"
710,"स्वाधीनमुखसहस्रः किं
वान तावद वासुकिः प्रशंसति यदि शक्नोति चिन्तयितुमलं गुणांस्त-
वैकेन हृदयेन"
711,"विधिना येषां ललाटेषु विलिखितं किमपि विषमप-
रिणामम् | ते तव पादपतनच्छलेन वसुधाधिप मार्जयन्ति"
712,"बन्दिस्तुतिः
अहिसारणम्मि तं रिज-सिरीऍ णिसिआसि घडिअ-पडिबिंबो|
णीलंसुअ-संवीओ व सहसि सहसाहब जिसीहे"
713,"सामण्णाई वि णामक्खराई विआई तइ विवेअम्मि |
फित्तणमेतेण वि जेण फुरसि तं णवर हिअअम्मि"
714,"७१३ || तब धारालग्नसमपसरत्करिमीक्तिकत्वात् खड्गः |
आरब्धोपलवर्षाम्बुवाहलीलां विडम्बयति"
715,"अनुराग इति परिजनः
कोपहुताशप्रभेति प्रतिपक्षाः आज्ञापदानां मुद्रासु तव विन्दन्ति सिन्दूरम्"
716,"वामेतरभुजभवनात् कथं नु श्रीर्वसतु तब खड़गे| ज्ञातं दृश्यत
इह संस्थिताया अस्यास्तस्मिन् प्रतिविम्बम्"
717,"नापि तथा लोकस्य
गुणा निजोत्कर्षेण प्रकटा भवन्ति | तव संमानार्धिता व्रजन्ति यथा प्रभो
प्रसिद्धिम्"
718,"न खलु प्रथममेव पदपीठघटितमौलिभिः कारित-
स्त्वमसि | भ्रुकुटीभङ्गायासमपराधभयेनेव रिपुभिः"
719,"१०८
गउडवहो
तुह पहु सबत सीमंतिणीण अच्छिन्न-वाह धाराहिं |
दीसंति समूलाओ व लोला लंबालअ-लआओ"
720,"तब प्रभो सपत्नसीमन्तिनीनामच्छिन्नवाष्पधाराभिः | दृश्यन्ते समूला
इव लोला लम्बालकलताः | ७१९ || येषां न पुरुषकारी युवतिसमास्तेषु
कथं श्री रमताम् | स्थितभावमित्थमखिला महिलाः कथमपि कामयन्ते"
721,"क्षीणा एके तवासी शरणमन्ये गतास्त्वामेव | शेषा अपि रिपबी
जलधिं कुत्रापि किल केऽपि प्रतिपन्नाः"
722,"व्रजन्त्यध ऊर्ध्वमयन्ते
मूलाकुरा इव पृथिवीम् | बीजादिवैकस्मात् कुलावं पुरुषाः समुत्पन्नाः"
723,"तरलत्ववचनीयं लक्ष्म्यास्त्वया उत्पोञ्छितम् | तयापि प्रभुत्वं
वः प्रभुदोषविवर्जितं वत्तम्"
724,"विपरीतमिव त्वयि इदं विवेकसारे
दृश्यते नरेन्द्र | भीतो दोषेभ्यस्त्वं ते पुनर्नष्टास्त्वत्तः"
725,"सकलेष्वेव
दिक्तटेषु दृश्यन्ते देव प्रतिलताः | पीता इव दिग्गजसीकरैर्विमला
गुणास्तव"
726,"१०९
भुवनगुरुकरते तब हियन्ते गुणैस्त्वं पुनस्तेषाम् | हियसे गुणलेशे-
नापि सुजनः सुजनानामधिकोऽसि"
727,"द्विजभूमिषु दानजलार्द्राणि
काळे यान्युप्तानि तानि तव नाथ रोहन्ति सांप्रतं विभववीजानि"
728,"प्रणयिषु गुरुमनोरथसंपत्तिगर्वितेषु संक्रान्तः | मन्ये तय तेन
प्रभुत्वेऽपि न मदः प्रतिस्फुरति"
729,"लब्ध्वा त्वत्तो ददभिरितस्तती
नरपतिभिः | शाखाभिरिव दानदुमो नरेन्द्र तब वर्धितो दूरम्"
730,"तब रिपुगजकुम्भनिमननिशिततोमरस्थापितविवरैः | विरचयन्ति सुखं
मुक्ताफले रमण्यो हारलताः"
731,"अपि च परिपूर्णते शिथि
लितजाल सूत्रसंतानसंस्थितो हस्तः | विपुलस्तनभराकृष्टिपीने वीटिका-
स्थाने"
732,"कोमलाङ्गलिकरकमल (बन्धन) मुध्यमानजालिका-
वलयाः | कुक्षिच्छेदा राजन्ते शिथिलदरष्ट भगङ्गाः"
733,"गाढकपाटकदुःखापसरखखराजिलाञ्छनो लभते | दरमेघोज्झितह-
रिणाक विम्ब शोभां स्तनोत्सङ्गः"
734,"कण्ठनिरोधोल्वणविस्तरनि:-
श्वासतुलितनासापुटम् | राजते बिसंलीलबलरीचिकुरभारः"
735,"मणिवलयाकुलवाग्रमोचनीत्पन्न करतलायासम् | शोभत लज्जाप्रतिरुद्ध-
स्तनभरं भुजलतायुगलम्"
736,"इति गुरुकव्यतिकरोत्तारितकशुकः
करोति प्रभो प्रदोषे | शय्यारोहणं तब लटभवेषसुखितः प्रियासार्थः"
737,"इति वन्दिनान्दत्तजयं गाधिपुरारूढसैन्यविन्यासः| जातः स खटभविलास-
मात्र विश्रान्तव्यापारः"
738,"अपि च | संभावितचित्तविकारकारणा-
मर्षताम्रच्छायम् | तथाध्याननिमीलितमेव भवति स्फुरिताधरं बदनम्"
739,"उन्मीलति स्तोकस्तो करोपरज्यमानदारुणापागा| मांसहित-
श्रवणभुजगेन्द्ररत्नकन्दप्रभा दृष्टिः"
740,"१११
श्यामायते स्वेदलवाभियुक्त विनिवृत्तभूतिलावण्यः| अविभावितकण्ठ-
छवियुच्छेदो यक्षः परिणामः"
741,"विघटते हव्यवाहशिखासमूह-
प्रेरितपुर्ट ललाटे | कथंकथमपि निविङकुटिविभागसंपिण्डितं नयनम"
742,"इति त्रिनयनरोषानलविलुमदेहोऽपि कुसुमकोदण्डः | यासु
निषण्णोऽद्यापि अकुण्ठवाण एव जये"
743,"आलुलितवेणिलेखं भ्रमितं
तारं च भुजलतायुगलम् | नेपथ्यं यासां विलासकम्पिताक्षीणि च सुखानि"
744,"तासां रमणीनां नतबाहु बिसलतामृष्ट कण्ठपरिणाहः| उद्वहति स
विलासी निदाघनेपथ्यविच्छित्तिम्"
745,"तेन स पलवभङ्गं चूडा-
मणिभावमतरुणं तासाम् | नीयते कुसुममा सुरभिकेसरं नवकम्बानाम्"
746,"आमेघसमयसुभगाः संभिनोपवनकेत कसुगन्धाः | शीकरिणोऽस्य
हृदयं हरन्ति रजनीमुखसमीराः"
747,"११२
उडवी
कुमुआवबोह-महुरा विरलागअ-मेह खंडिअ-मिअंका|
अग्यंति णिसा असमत-गलिअ सलिलागमा तस्स"
748,"निःश्वासाः क्षणविरहे स्फुरन्ति
रमणीनां सुरभयस्तस्य | कृष्टहृदयस्थितकुसुमवाणमकरन्दलेशा श्व"
749,"स दृश्यते उभयदि प्रभावितानन्दवाप्पसलिलैः | तासां
परिरम्भप्रसरभुजलतैरिवाक्षिभिः"
750,"अपि च | स्फटिकाच्छी-
दरदृश्यमानपृष्ठवेणीशिखा इव शोभन्ते | सहसा बलिभङ्गतरगिणीभिर्या
रोमरेखाभिः"
751,"शशिनमिव नवोदितं विहसितेनाधरप्रभानुविद्धेन |
श्वासामोद मिलदलिलाञ्छनं याः प्रकाशयन्ति"
752,"याः कर्ण-
किसलय करतल मिलञ्चलतारका भिर्हष्टिभिः कन्दुकक्रीडामिव सशेषवा-
लभावाः प्रकाशयन्ति"
753,"या ललितलीलां विडम्बयन्ति सितदन्त-
कुसुमाः | सहसा मधुकरजालाय माननीलाम्बरावरणाः"
754,"११३
याः सदादत्तसांनिध्यमदनपूजादाः शरीरेषु | सरसनखमञ्जरीमयं
रक्ताशोकमिव लिखन्ति"
755,"याः प्रसङ्गपरिगृहीतहारिहरितांशुकाः
प्रकाशयन्ति | रम्भागर्भत्वमनधपरिकरमूरुदण्डानाम्"
756,"लीलाव-
नतमुखचन्द्राणां खण्डिताधरनिमेन स्तनष्टठे हृदयं यासां प्रकटमम्मथ-
वाणव्रणं स्फुरति"
757,"स्तनमध्यच्छवितारं कूर्पासान्तरमनङ्गनाशे |
उर्ध्वमिव लोचनं त्रिनयनस्य बन्दीकृतं याभिः"
758,"नखरेखा यासां
स्तनेषु शोभते रोमाञ्चखण्डितनिवेशा क्षणविरहभरुिणः सीवनीय
स्फुटितस्य हृदयस्य"
759,"चक्रयुगेनेव मन्मथरथस्य प्रियाभिमुखगा-
मिनो याः स्तनमण्डलेन परिरम्भलम्भविकटेन शोभन्ते"
760,"प्रेक्षन्ते
याश्चरणी चम्पककलिकोपचारमुह्यमानौ | कर्णोत्पलप्रहारभया गृहीता-
विव प्रदीपमालाभिः"
761,"११४
मउदवही
दंसण-णिवी अमीसा-वस-कूणिअणयण-पम्ह-भावेण |
जा पंजरिआमेव पिअं घरैति अवसरण-संकाए"
762,"एकदिशाप्रतिलक्षितविमल-
दशाञ्चरणनखमयूखैः| या लावण्यपट्य इव शोभन्ते परिमर्शमृद्रयः"
763,"दीर्घ-
पृथुलत्वेन हस्तदृढावेष्टनैकयाग्याः | यासां कचग्रहतृणां ददति चलाइ
बेणिमालाः"
764,"अपराद्धरमणप्रतिमामपि याः स्नपयन्तीव गण्डपार्श्वे |
अन्यललनाप्रसङ्गावकलुषितां वाण्यसलिलेन"
765,"सदा संघट्टस-
मुज्ज्वलकोटिं कनकरशनां विमोचयन्ति प्रियमुखनिहितविकसल्लोचना
याः समये"
766,"या रोषोत्कम्पितकर्णकुसुमरजः पुत्रपूरितस्तन्यः |
अवचूर्णयन्तीव दररूढसंस्थितान् मन्मथप्रहारान्"
767,"जा रोसुकंपि कण्ण-कुसुम-रअ-पुंज-पूरिअ-धणी ओ |
अवचुर्णेति व दर रूढ संठिए वम्मह पहरे || ७६६ |
कंपाओ बहंति थणत्थ-हत्य-रणिरंगुलीय-हाराओ |
अंग थामेचिअ मुहल-मेहला-उरं जाओ"
768,"११५
चित्रमणिकर्णपूराभिविन्द्व विविधोपरागपक्ष्मभिः | वर्णकतुलिकाव-
जिवि लिखन्ति या रमणमक्षिभिः"
769,"एक दिमा-पडिलक्विअ-विमल-दसा चलण णह-मऊहेहिं |
जा लावण्ण-पडीओ व सहति परिमास मउईओ"
770,"प्रियाभिमुखं यासां विलासलाललीलास्फुरत्पक्ष्माणि | उड्डीयन्त
इव तरलितपक्षसंपुटाग्राणि अक्षीणि"
771,"आसन्नप्रियतमाघरघटमा-
नस्फुटदशन किरणभावेन या मुखरसासवमिव पिबन्ति लीलामृणालैः"
772,"बालासु तासु नवदृष्टिराग ह्रियमाणहृद्यतरलानि | अनुबध्यमानानी-
बास्य गुणैः शोभन्ते ललितानि"
773,"परिरम्भणचक्रकृतं श्यामास्तन-
मण्डलमुरसि तस्य | प्राप्नोति लीलाऽऽर्वकनिहितनलिनीदलच्छायम्"
774,"शेषगुणनिरभिलाषा रूपमेवास्य पिवन्ति तरुण्यः | को वाऽन्वि
प्यति टमनकम्य दलसुरभिणः कुसुमम्"
775,
776,
777,
778,
779,
780,
781,
782,"११७
किं च जातम् | सीम्प्रभिषु निशाम्यति दृष्टी रागोज्ज्वलेषु रमणी-
नाम सारसवापीपरिपाण्डुरेध्यस्य दशनवासः"
783,"उद्भियते
जडभाबावरोहहढमदनसैनिवेशे | अधरे सरसवकुलाभिपाटला रामवि-
च्छित्तिः"
784,"प्रथमं क्षणमार्गितव्यतिकरेषु संचरति मण्डनोत्साहः |
गृहीतहिमापाण्डुरमरुचकेषु पारति दामसु"
785,"परिकपिशविन्दुमा-
लावशेषमृगनाभिदन्तुरे स्फुरति | वदने मृगास्कारम्भपेलवा कुङ्कुमच्छाया"
786,"संगलति मरुवकच्छेदशबलविन्युतदमनकदलासु | लावण्यं
मर्दितस्थितपिशङ्गकुन्दासु कवरीषु"
787,"इति रजनीभङ्गोद्गतप्रियं
गुप्रतिपन्नशेखरी हरति शिशिरे मतिमनोहरप्रसाधनोऽस्य प्रियासार्थः"
788,"अपि च| फलनिर्गमप्रतिप्रेरितपरिशिथिला लग्नमृदुलचूर्णानि |
चूतानां झणत्कारयति मारुती मञ्जरीमुखानि"
789,"चित्तालक्षितमुकुलीद्गमानां सायं निवेशितजलानाम्| गन्धमनामोदं
सप्तलानां कालो विरलयति"
790,"आशुष्यति माधवीनां विच्छायप
रितिक कुसुमासु | निर्मलसौरमं मनरीषु फलग्रन्थिजटिलास"
791,"इत्यस्य दिनेषु मधुश्रीपरिणामसुखेषु उपवननिवेशाः | नन्दन्ति प्रणयिनी-
परिजनस्य नगरोपरोधेषु"
792,"पर्यन्तहरित कोमलखर्जूरवसोज्ज्वलं
कपोलानाम् | नयनान्तगलितवाप्पाञ्जनानां निर्वर्तत लावण्यम्"
793,"दरमुकुलममध्यावनततनुरेखायमाणधवलभावानि | यन्ति नवशशि-
कलाभामन्तस्ताराणि अक्षीणि"
794,"स्तोकमिव क्षामगण्डत्वेन परि-
लक्षितो नतनिवेशः परिशुष्यति कर्केतनपरागकणोज्ज्वलोऽधरः"
795,"दौर्बल्यपाण्डुराणां ऊष्मारुणितनवकेसरगुणानाम् | विरलत्वमिव स्तोक-
मुपैति मुग्धानां स्तनानाम्"
796,"११९
इति तस्य प्रथममदनानुबन्धप्रतिबद्ध मुग्धभावासु | दृष्टिर्निभृत-
विलासालसासु विश्राम्यति वालासु"
797,"अथ तस्य स्थिरभुजस्तम्भ-
निहितनिःशेषभुवनभारत्य आसीत् कविराजचिही वाक्पतिराज इति
प्रणयिलवः"
798,"आत्मा एतावन्मात्रेण केवलं विरसोऽपि यस्य
प्रतिभाति | श्रीकमलायुधचरणैः कविना यह गृहीतबहुमानः"
799,"भवभूतिजलधिनिर्गतकाव्यामृतरसकणा एव स्फुरन्ति | यस्य विशेषा
अद्यापि विकटेषु कथानिवेशेषु"
800,"भासे ज्वलनमित्रे कुन्तीदेवे च
यस्य रघुकारे| सौवन्ध्ये च बन्धे हारिचन्द्रे चानन्दः"
801,"आलेख्यं
च सरसं च स्पर्शलवणं च सारवच्च | स्थिरमुज्ज्वलं च छायाघनं च
गीविलसितं च"
802,"आगमवादाश्छन्दोज्ञाच ते भरतगीतमप्रमुखाः |
नन्दन्ति यमेवंहासकारिणः सारकवयश्च"
803,"भृतश्रवणस्थितं भूरिकविगुणावकाशका दिक्षणो यस्य सुभणितमधी
नयन्तीव विस्मयचलितैः शीर्षैः"
804,"ततः स गोष्ठीपरिसंस्थितैः
सत्पुरुषसंकथावसरे | भणिती विस्मयविकसनयनपत्रं विदग्धैः"
805,"जलभवनसमालम्वितशयनस्य मुरारेः समुद्रेण दीयते महाप्रदीप
इव वीचिसंवेलितः सूर्यः"
806,"दृश्यन्ते जगद्विनाशोल्लु सद्-
घनधूमकेतुदण्ड इव जलमज्जदिग्गजक्षणोर्ध्वधृताः करस्तम्भाः"
807,"उल्लसितवीचिवलयान्तरालपरिवर्तमानर विविम्बाः | भवन्ति सवाढवज्व-
लना इव गमनमार्गेऽपि मकरधराः"
808,"विगलविलयाः प्रलया-
म्बुवहनिवहा निर्पयन्ते | प्रतिदिवसपीत सलिला: सानुशयेनेव सलिलेन"
809,"जल-भवण-समालंबिअ-सयणस्स मुरारिणो समुद्देण |
दिज्जर महा-पईबो व वीइ संवेलिओ सूरो"
810,"गृहीता गुणत्वेन फलन्ति दोषाः स्फुटं नरेन्द्रेषु | दोषा
एव गुणसंभावनया यदि तेषां जायन्ते"
811,"मज्जति शिखरारूढारी-
हत्पुञ्जीकृत मुखरसुरलोकः | कुहरभरणक्रमावसीदज्जलकलकली मेरुः"
812,"चरणान्तनिपतितां संभ्रमेण प्रलयाम्बुनिर्भर भुवने| आरोहति
रजतनावमिव त्रिनयनो मौलिशशिलेखाम्"
813,"न आकुलभावी
योगानुबन्धसंयमितन्वासप्रसरस्य प्लाविताननस्यापि स्वयंभुवः सागरजलेन"
